,STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENaN N+ NITRITENaNN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,0.0
0,1393.0,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,30.6,6.7,7.5,203.0,0.0,0.1,11.0,27.0,2014,26.207667194092803
1,1399.0,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,29.8,5.7,7.2,189.0,2.0,0.2,4953.0,8391.0,2014,26.207667194092803
2,1475.0,ZUARI AT PANCHAWADI,GOA,29.5,6.3,6.9,179.0,1.7,0.1,3243.0,5330.0,2014,26.207667194092803
3,3181.0,RIVER ZUARI AT BORIM BRIDGE,GOA,29.7,5.8,6.9,64.0,3.8,0.5,5382.0,8443.0,2014,26.207667194092803
4,3182.0,RIVER ZUARI AT MARCAIM JETTY,GOA,29.5,5.8,7.3,83.0,1.9,0.4,3428.0,5500.0,2014,26.207667194092803
5,1400.0,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30.0,5.5,7.4,81.0,1.5,0.1,2853.0,4049.0,2014,26.207667194092803
6,1476.0,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.2,6.1,6.7,308.0,1.4,0.3,3355.0,5672.0,2014,26.207667194092803
7,3185.0,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.6,6.4,6.7,414.0,1.0,0.2,6073.0,9423.0,2014,26.207667194092803
8,3186.0,RIVER MANDOVI AT IFFI JETTY,GOA,30.0,6.4,7.6,305.0,2.2,0.1,3478.0,4990.0,2014,26.207667194092803
9,3187.0,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,30.1,6.3,7.6,77.0,2.3,0.1,2606.0,4301.0,2014,26.207667194092803
10,1543.0,"RIVER KALNA AT CHANDELNaN PERNEM, GOA",GOA,27.8,7.1,7.1,176.0,1.2,0.1,4573.0,7817.0,2014,26.207667194092803
11,1548.0,"RIVER ASSONORA AT ASSONORA, GOA",GOA,27.9,6.7,6.4,93.0,1.4,0.1,2147.0,3433.0,2014,26.207667194092803
12,2276.0,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.3,7.4,6.8,121.0,1.7,0.4,11633.0,18125.0,2014,26.207667194092803
13,2275.0,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,29.2,6.9,7.0,620.0,1.1,0.1,3500.0,6300.0,2014,26.207667194092803
14,3189.0,RIVER CHAPORA AT SIOLIM,GOA,30.0,6.0,7.5,72.0,1.6,0.2,4995.0,9517.0,2014,26.207667194092803
