,Unnamed: 0,Unnamed: 0.1,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENaN N+ NITRITENaNN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,year,npH,nD.O. (mg/l),nTOTAL COLIFORM (MPN/100ml)Mean,nB.O.D. (mg/l),nCONDUCTIVITY (µmhos/cm),nNITRATENaN N+ NITRITENaNN (mg/l),wph,wdo,wbdo,wec,wna,wco,wqi,new_WQI,new_WQI_fishes
0,0,0,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,30.6,6.7,7.5,203.0,6.94,0.1,27.0,2014,100,100,80,60,60,100,16.5,28.1,14.04,0.5399999999999999,2.8000000000000003,22.480000000000004,84.46000000000002,2,1
1,1,1,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,29.8,5.7,7.2,189.0,2.0,0.2,8391.0,2014,100,80,40,100,60,100,16.5,22.480000000000004,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,76.96000000000002,2,1
2,2,2,ZUARI AT PANCHAWADI,GOA,29.5,6.3,6.9,179.0,1.7,0.1,5330.0,2014,80,100,40,100,60,100,13.2,28.1,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,79.28,2,1
3,3,3,RIVER ZUARI AT BORIM BRIDGE,GOA,29.7,5.8,6.9,64.0,3.8,0.5,8443.0,2014,80,80,40,80,100,100,13.2,22.480000000000004,18.72,0.8999999999999999,2.8000000000000003,11.240000000000002,69.34,3,1
4,4,4,RIVER ZUARI AT MARCAIM JETTY,GOA,29.5,5.8,7.3,83.0,1.9,0.4,5500.0,2014,100,80,40,100,80,100,16.5,22.480000000000004,23.4,0.72,2.8000000000000003,11.240000000000002,77.14000000000001,2,1
5,5,5,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30.0,5.5,7.4,81.0,1.5,0.1,4049.0,2014,100,80,40,100,80,100,16.5,22.480000000000004,23.4,0.72,2.8000000000000003,11.240000000000002,77.14000000000001,2,1
6,6,6,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.2,6.1,6.7,308.0,1.4,0.3,5672.0,2014,60,100,40,100,0,100,9.9,28.1,23.4,0.0,2.8000000000000003,11.240000000000002,75.44,2,1
7,7,7,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.6,6.4,6.7,414.0,1.0,0.2,9423.0,2014,60,100,40,100,0,100,9.9,28.1,23.4,0.0,2.8000000000000003,11.240000000000002,75.44,2,1
8,8,8,RIVER MANDOVI AT IFFI JETTY,GOA,30.0,6.4,7.6,305.0,2.2,0.1,4990.0,2014,100,100,40,100,0,100,16.5,28.1,23.4,0.0,2.8000000000000003,11.240000000000002,82.03999999999998,2,1
9,9,9,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,30.1,6.3,7.6,77.0,2.3,0.1,4301.0,2014,100,100,40,100,80,100,16.5,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,82.75999999999998,2,1
10,10,10,"RIVER KALNA AT CHANDELNaN PERNEM, GOA",GOA,27.8,7.1,7.1,176.0,1.2,0.1,7817.0,2014,100,100,40,100,60,100,16.5,28.1,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001,2,1
11,11,11,"RIVER ASSONORA AT ASSONORA, GOA",GOA,27.9,6.7,6.4,93.0,1.4,0.1,3433.0,2014,0,100,40,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,66.25999999999999,3,1
12,12,12,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.3,7.4,6.8,121.0,1.7,0.4,18125.0,2014,80,100,0,100,80,100,13.2,28.1,23.4,0.72,2.8000000000000003,0.0,68.22,3,1
13,13,13,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,29.2,6.9,7.0,620.0,1.1,0.1,6300.0,2014,100,100,40,100,0,100,16.5,28.1,23.4,0.0,2.8000000000000003,11.240000000000002,82.03999999999998,2,1
